


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
東京工業大学  研究員公募（Aspire Lab）  情報学 - 人間情報学 -- 総合理工 - 計算科学  常勤 (任期あり)  2021年01月31日
八戸学院大学短期大学部  八戸学院大学短期大学部幼児保育学科教授、准教授又は講師（教育学分野）  社会科学 - 教育学  常勤 (任期あり)  2021年01月29日
地方独立行政法人神奈川県立産業技術総合研究所  常勤研究員の募集（人工細胞膜システムグループ）  総合理工 - ナノ・マイクロ科学 -- 複合領域 - 生体分子科学 -- 化学 - 複合化学  常勤 (任期あり)  2021年02月12日
国立研究開発法人物質・材料研究機構  ポスドク研究員 (任期制)募集（超高圧グループ）  工学 - 電気電子工学 -- 工学 - 材料工学  常勤 (任期あり)  2021年04月12日
九州大学  学術研究員またはテクニカルスタッフの募集（二酸化炭素分離膜に関する研究）  化学 - 複合化学 -- 化学 - 材料化学 -- 工学 - プロセス工学・化学工学  常勤 (任期あり)  2021年03月31日
東京大学  特任助教の公募（相談支援研究開発センターカウンセリング分野）  社会科学 - 心理学  常勤 (任期あり)  2021年01月29日
滋賀文教短期大学  子ども学科専任教員【保育内容（人間関係）、保育内容（言葉）、乳児保育Ⅰ　など】公募1名  社会科学 - 教育学 -- 複合領域 - 子ども学  常勤 (任期あり)  2021年02月01日
八千代エンジニヤリング株式会社  技術職（社会・経済シミュレーション関連）の公募  複合領域 - 社会・安全システム科学 -- 社会科学 - 経済学 -- 工学 - 土木工学  常勤 (任期あり)  2021年01月31日
八千代エンジニヤリング株式会社  技術職（ビッグデータ解析・人工知能）の公募  情報学 - 情報学基礎 -- 数物系科学 - 物理学 -- 工学 - 土木工学  常勤 (任期あり)  2021年01月31日
神奈川県立がんセンター  特任研究員の公募（臨床研究所・がん免疫療法研究開発学部）  医歯薬学 - 全て -- 生物学 - 生物科学  常勤 (任期あり)  2021年01月31日
【SBIR】株式会社カン研究所  研究職（中枢神経分野医薬品開発をリードするチームリーダー候補の公募）  総合生物 - 神経科学 -- 医歯薬学 - 薬学  常勤 (任期あり)  2021年03月01日
国立研究開発法人理化学研究所  研究員/特別研究員/リサーチアソシエイト募集（W20196）（知識獲得・対話研究チーム）  情報学 - 計算機科学  常勤 (任期あり)  2021年12月18日
日本医科大学  助教の公募 (大学院医学研究科・分子遺伝医学分野)  医歯薬学 - 基礎医学 -- 総合生物 - 全て -- 生物学 - 生物科学  常勤 (任期あり)  2021年03月31日
公益財団法人九州先端科学技術研究所  職員募集（IT部門）  情報学 - 全て -- その他 - 全て  常勤 (任期あり)  2021年01月29日
東京農工大学  ポスドク研究員の募集（植物微生物共生分野）  農学 - 全て -- 生物学 - 全て -- 総合生物 - 全て  常勤 (任期あり)  2021年02月28日
大阪樟蔭女子大学  「助手(教務・実習)」(任期付)の公募について  複合領域 - 生活科学  常勤 (任期あり)  2021年02月12日
国立研究開発法人科学技術振興機構  戦略的創造研究推進事業　総括実施型研究（ERATO）にかかる任期制職員の募集（研究プロジェクト推進部）  情報学 - 全て  常勤 (任期あり)  2021年01月29日
国立研究開発法人理化学研究所  特別研究員募集（W20236）（岩崎RNAシステム生化学研究室）  生物学 - 全て  常勤 (任期あり)  2022年01月12日
順天堂大学  博士研究員の募集（順天堂大学大学院医学研究科）  医歯薬学 - 基礎医学 -- 生物学 - 生物科学 -- 総合生物 - 神経科学  常勤 (任期あり)  2021年02月28日
国立研究開発法人理化学研究所  テクニカルスタッフⅡ募集（W20233）(眞貝細胞記憶研究室)  生物学 - 全て  常勤 (任期あり)  2022年01月12日
保育・介護・ビジネス名古屋専門学校  （常勤）専任教員（教務課 介護福祉学科）  複合領域 - 介護福祉  常勤 (任期あり)  2021年02月28日
国立研究開発法人理化学研究所  研究員・特別研究員・テクニカルスタッフⅠまたはⅡ募集（W20232）（分散型ビッグデータチーム）  情報学 - 計算機科学  常勤 (任期あり)  2022年01月12日
東南アジア諸国連合貿易投資観光促進センター  【募集締切延長】国際機関日本アセアンセンター 貿易投資クラスタープロジェクト担当官 募集  社会科学 - 経済学 -- 社会科学 - 経営学 -- 総合人文社会 - 地域研究  常勤 (任期あり)  2021年02月05日
信州大学  博士研究員 募集（信州大学・是津研究室）  化学 - 電気化学　固体化学　無機化学　表面化学　固体イオニクス -- 工学 - 材料工学  常勤 (任期あり)  2021年03月01日
国立研究開発法人理化学研究所  テクニカルスタッフⅠ募集（W20237）（渡邉分子生理学研究室）  数物系科学 - 物理学 -- 工学 - 全て -- 化学 - 全て  常勤 (任期あり)  2022年01月13日
国立研究開発法人物質・材料研究機構  NIMSエンジニア (任期制)募集（二次電池材料グループ）  工学 - 材料工学 -- 化学 - 材料化学  常勤 (任期あり)  2021年04月15日
総務省  任期付職員（産業連関表・統計分類・研修業務）の公募  社会科学 - 経済学 -- 情報学 - 統計学 -- その他 - 統計学、環境学  常勤 (任期あり)  2021年01月29日
総務省  任期付職員（統計委員会調査研究業務）の公募  社会科学 - 経済学 -- 情報学 - 統計学 -- その他 - 統計学  常勤 (任期あり)  2021年01月29日
北九州市立大学  特任教員（任期あり）の公募（地域スポーツ系領域実習担当）  複合領域 - 健康・スポーツ科学 -- 社会科学 - 社会学、経営学、教育学 -- 複合領域 - 生涯スポーツ、スポーツマネジメント、地域スポーツ  常勤 (任期あり)  2021年02月15日
福島学院大学短期大学部  専任教員の公募（幼児と言葉、保育内容指導法言葉、国語）  社会科学 - 教育学  常勤 (任期あり)  2021年02月10日
信州大学  信州大学繊維学部　特任助教または博士研究員（燃料電池触媒の研究開発）  化学 - 材料化学 -- 工学 - 材料工学  常勤 (任期あり)  2021年02月28日
信州大学  信州大学繊維学部　特任助教または博士研究員 (スーパーキャパシタの研究開発）  化学 - 材料化学 -- 工学 - 材料工学  常勤 (任期あり)  2021年02月28日
国立研究開発法人理化学研究所  上級研究員募集（ADVNMR2101）（先端NMR開発・応用研究チーム）  化学 - 全て -- 総合理工 - 計算科学 -- 生物学 - 全て  常勤 (任期あり)  2022年01月15日
国立研究開発法人理化学研究所  技師募集（UHFM2101）（機能性超高磁場マグネット技術研究ユニット）  工学 - 全て -- 生物学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年01月26日
学習院女子大学  助教の公募(学内ネットワーク保守管理、情報教育コーディネーター)  複合領域 - 情報科学、情報学 -- 数物系科学 - 全て -- 工学 - 全て  常勤 (任期あり)  2021年02月13日
東京福祉大学  専任教員の公募 初等教育分野  社会科学 - 教育学  常勤 (任期あり)  2021年01月31日
東京福祉大学  専任教員の公募 教育学部（初等教育分野）  人文学 - 言語学  常勤 (任期あり)  2021年01月31日
東京福祉大学  専任教員の公募 社会保障分野  社会科学 - 社会学  常勤 (任期あり)  2021年01月31日
東京工科大学  東京工科大学 工学部 電気電子工学科 教授、准教授または講師1名の公募【電気電子工学分野】  工学 - 電気電子工学  常勤 (任期あり)  2021年03月26日
東京福祉大学  専任教員の公募 経営学分野  社会科学 - 社会学  常勤 (任期あり)  2021年01月31日
国立研究開発法人理化学研究所  研究員または特別研究員募集（CSRS-2016）（環境代謝分析研究チーム）  工学 - 全て -- 化学 - 全て -- 情報学 - 数理・情報科学  常勤 (任期あり)  2021年02月26日
公益財団法人ひょうご震災記念２１世紀研究機構  人と防災未来センター　研究員の公募  複合領域 - 全て -- 社会科学 - 全て -- その他 - 全て  常勤 (任期あり)  2021年02月22日
立命館大学  立命館大学大学院人間科学研究科　嘱託講師公募について  社会科学 - 心理学  常勤 (任期あり)  2021年02月05日
信州大学  信州大学先鋭領域融合研究群社会基盤研究所[助教(特定雇用)，講師(特定雇用)又は准教授(特定雇用)]（刑事法分野担当）公募要領  社会科学 - 法学  常勤 (任期あり)  2021年02月01日
川口短期大学  川口短期大学ビジネス実務学科 特任教員の募集（経営学）（経営学総論）（経営管理論）（インターンシップ）（ゼミ）  社会科学 - 社会学 -- 社会科学 - 経済学  常勤 (任期あり)  2021年02月09日
大阪大学  特任助教（常勤）（マルチリンガル教育センター）の公募  人文学 - 言語学  常勤 (任期あり)  2021年01月25日
公益財団法人地球環境戦略研究機関  自然資源・生態系サービス領域所属 研究員（シニアスタッフ・プロフェッショナルスタッフ）  環境学 - 環境保全学 -- 社会科学 - 政策学  常勤 (任期あり)  2021年02月28日
筑波大学  助教の公募（文化人類学）  人文学 - 文化人類学  常勤 (任期あり)  2021年02月15日
株式会社SENTAN Pharma  【研究員（契約社員）募集】　ナノ、マイクロ粒子に関する研究開発  工学 - プロセス工学・化学工学 -- 化学 - 複合化学 -- 医歯薬学 - 薬学  常勤 (任期あり)  2021年04月30日
東京大学  助教の公募（社会学分野）  社会科学 - 社会学  常勤 (任期あり)  2021年01月29日
九州栄養福祉大学  教員の公募（リハビリテーション学部作業療法士・理学療法士 基礎教養科目〔臨床統計、情報処理演習関係〕）  情報学 - 情報処理学関係 -- 情報学 - 情報学基礎 -- 総合理工 - 計算科学  常勤 (任期あり)  2021年02月06日
広島大学  研究員（フルタイム契約職員）（ポスドク相当）の募集（生物工学分野）  生物学 - 微生物生態学 / 細菌学 / ゲノム科学 -- 農学 - 農芸化学 / 応用微生物学 / 微生物生態学 / 環境微生物学 -- 総合生物 - 生物工学 / 環境微生物学  常勤 (任期あり)  2021年03月31日
京都芸術大学  准教授または専任講師の公募（空間演出デザイン学科）  複合領域 - デザイン学 -- 複合領域 - 生活科学 -- その他 - ブランディング  常勤 (任期あり)  2021年02月08日
国立研究開発法人理化学研究所  テクニカルスタッフ募集(W20235)（神経動態医科学連携研究チーム）  生物学 - 全て -- 医歯薬学 - 医科学  常勤 (任期あり)  2022年01月15日
静岡文化芸術大学  「技術員（デザイン学部実習指導職）」の公募  複合領域 - デザイン学  常勤 (任期あり)  2021年01月29日
名古屋経済大学  教授、准教授または専任講師の公募（人間生活科学部管理栄養学科「調理学」）  複合領域 - 調理学 -- 複合領域 - 生活科学  常勤 (任期あり)  2021年02月12日
名古屋経済大学  専任助手の公募（人間生活科学部管理栄養学科）  複合領域 - 生活科学  常勤 (任期あり)  2021年02月12日
筑波大学  輸出管理マネージャー募集（利益相反・輸出管理マネジメント室）  その他 - 自然科学系分野  常勤 (任期あり)  2021年01月25日
常磐大学  常磐大学 人間科学部 健康栄養学科　教授、准教授または助教（公衆栄養学）  複合領域 - 生活科学 -- 複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年01月29日
広島修道大学  健康栄養学科助手の公募  複合領域 - 生活科学 -- 複合領域 - 食生活学 -- 複合領域 - 食と栄養  常勤 (任期あり)  2021年02月15日
公益財団法人神戸医療産業都市推進機構  博士研究員の募集（血液・腫瘍研究部）　  生物学 - 全て -- 医歯薬学 - 全て -- 総合生物 - 全て  常勤 (任期あり)  2021年03月31日
順天堂大学  PD（博士研究員）の募集　（難病の診断と治療研究センター）  医歯薬学 - 基礎医学 -- 総合生物 - 全て  常勤 (任期あり)  2021年06月30日
西日本短期大学  ビジネス法学科　特任教員（教授）  社会科学 - 法学  常勤 (任期あり)  2021年02月19日
株式会社SENTAN Pharma  【研究員（契約社員）募集】医薬品、健康食品の品質管理業務  工学 - プロセス工学・化学工学 -- 化学 - 複合化学 -- 医歯薬学 - 薬学  常勤 (任期あり)  2021年04月30日
桜美林大学  桜美林大学グローバル・コミュニケーション学群教員の募集について（専門分野 日本語教育）  人文学 - 言語学  常勤 (任期あり)  2021年01月24日
飛鳥未来きずな高等学校  【急募】常勤・非常勤募集（飛鳥未来きずな高等学校神戸キャンパス）  人文学 - 全て -- 数物系科学 - 全て -- 情報学 - 全て  常勤 (任期あり)  2021年01月31日
国立研究開発法人物質・材料研究機構  NIMSポスドク研究員 (任期制)募集（全固体電池グループ）  化学 - 材料化学 -- 化学 - 複合化学 -- 工学 - 材料工学  常勤 (任期あり)  2021年04月18日
広島文化学園大学  准教授または講師の公募（心理学分野）  社会科学 - 心理学  常勤 (任期あり)  2021年02月05日
新潟こども医療専門学校  こども分野専任教員（心理学系）の公募  社会科学 - 心理学  常勤 (任期あり)  2021年02月15日
九州女子短期大学  九州女子短期大学 子ども健康学科および専攻科 専任教員（幼児教育・保育分野）の公募  社会科学 - 教育学 -- その他 - 幼稚園教諭養成および保育士養成  常勤 (任期あり)  2021年02月15日
大阪市立大学  大阪市立大学大学院理学研究科・素励起物理学研究室　博士研究員の募集  数物系科学 - 物理学  常勤 (任期あり)  2021年02月12日
東京工業大学  東京工業大学 科学技術創成研究院 研究員 公募 (AI・画像分野)  情報学 - 深層学習 -- 総合理工 - 医用画像 -- 総合理工 - 機械学習  常勤 (任期あり)  2021年02月07日
イーター国際核融合エネルギー機構  イーター国際核融合エネルギー機構職員（専門職員:4名IO1000他）の公募  工学 - 全て -- 数物系科学 - 全て -- 総合理工 - 全て  常勤 (任期あり)  2021年02月21日
長崎短期大学  地域共生学科介護福祉コース専任教員（助教以上）の公募  社会科学 - 社会学 -- 医歯薬学 - 介護学 -- 医歯薬学 - 看護学  常勤 (任期あり)  2021年01月31日
国立研究開発法人理化学研究所  研究員または特別研究員募集（W20245）(ハイブリッド量子回路研究チーム)  数物系科学 - 物理学 -- 工学 - 全て  常勤 (任期あり)  2022年01月18日
東京大学  特任助教の公募（相談支援研究開発センター）  社会科学 - 心理学 -- 医歯薬学 - 社会医学  常勤 (任期あり)  2021年01月29日
上田女子短期大学  幼児教育学科　専任教員（教授、准教授、講師）（心理学系）の公募  社会科学 - 心理学 -- 社会科学 - 教育学  常勤 (任期あり)  2021年01月29日
学校法人敬心学園  研究員（対人援助分野に関する職業研究）  社会科学 - 全て -- 総合人文社会 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年01月31日
目白大学  目白大学高等教育研究所　助教募集のお知らせ  社会科学 - 教育学 -- 社会科学 - 心理学  常勤 (任期あり)  2021年02月10日
目白大学  目白大学高等教育研究所　助手募集のお知らせ  社会科学 - 教育学 -- 社会科学 - 心理学  常勤 (任期あり)  2021年02月10日
国立研究開発法人理化学研究所  研究員・テクニカルスタッフⅠ・リサーチアソシエイト募集（BIC2001）(バイオコンピューティング研究チーム)  工学 - 全て -- 情報学 - 数理・情報科学 -- 生物学 - 全て  常勤 (任期あり)  2022年01月18日
大阪体育大学  大阪体育大学特定講師（学習支援室副主任）募集  社会科学 - 教育学  常勤 (任期あり)  2021年01月30日
東京福祉大学  専任教員の公募 情報処理分野  社会科学 - 教育学  常勤 (任期あり)  2021年01月31日
国立研究開発法人日本原子力研究開発機構  副理事長の公募（国立研究開発法人日本原子力研究開発機構　）  総合理工 - 全て -- 数物系科学 - 全て -- 工学 - 全て  常勤 (任期あり)  2021年02月01日
東京理科大学  ポスドク研究員または助教の募集（マイクロ・ナノ流体）  工学 - 機械工学 -- 総合理工 - ナノ・マイクロ科学 -- 化学 - 複合化学  常勤 (任期あり)  2021年05月31日
東北大学  東北大学タフ・サイバーフィジカルAI研究センター 助教の公募（ HPC計算モジュール研究部門 ）  情報学 - 計算基盤 -- 総合理工 - 計算科学 -- 情報学 - 計算機システム・コンピュータアーキテクチャ  常勤 (任期あり)  2021年02月13日
京都大学  助教の公募（情報学研究科システム科学専攻システム構成論講座）  情報学 - 情報学基礎 -- 情報学 - 人間情報学 -- 数物系科学 - 物理学  常勤 (任期あり)  2021年02月26日
東北福祉大学  総合福祉学部福祉心理学科教員（助教（任期制））の公募  社会科学 - 心理学  常勤 (任期あり)  2021年02月10日
一般財団法人運輸総合研究所  ポスドク募集（社会科学系を中心としますが、それ以外でも可能です）  社会科学 - 経済学（交通経済学） -- 総合人文社会 - 観光学（観光政策等） -- 工学 - 土木計画学・交通工学（交通計画等）  常勤 (任期あり)  2021年02月01日
東京医科歯科大学  特任助教の公募（東京医科歯科大学・教養部・自然科学系・物理学分野）  数物系科学 - 物理学  常勤 (任期あり)  2021年02月24日
ノートルダム清心女子大学  助手の公募（栄養学・管理栄養士養成課程教員）  複合領域 - 生活科学 -- 農学 - 農芸化学 -- 医歯薬学 - 臨床栄養学など  常勤 (任期あり)  2021年01月31日
九州大学  九州大学　国際戦略企画室　教授（特定有期教員）の公募  その他 - 全て  常勤 (任期あり)  2021年01月29日
茨城キリスト教大学  専任教員の公募（管理栄養士養成課程専門科目分野（栄養教育論））  複合領域 - 栄養教育分野 -- 複合領域 - 生活科学  常勤 (任期あり)  2021年02月17日
国立研究開発法人医薬基盤・健康・栄養研究所  理事の公募（追加公募）  医歯薬学 - 全て -- 総合生物 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年02月01日
国立研究開発法人理化学研究所  研究員、特別研究員またはテクニカルスタッフⅠ募集（W20239）（人工知能安全性・信頼性ユニット）  情報学 - 数理・情報科学 -- 情報学 - 計算機科学 -- 複合領域 - 全て  常勤 (任期あり)  2022年01月18日
国立研究開発法人国立長寿医療研究センター  認知症予防科学部（仮称）主任研究員、または研究員の募集  医歯薬学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年02月26日
茨城工業高等専門学校  茨城工業高等専門学校　国際創造工学科（化学・生物・環境系）研究員公募  生物学 - 生物科学、基礎生物学 -- 医歯薬学 - 基礎医学 -- 化学 - 生化学  常勤 (任期あり)  2021年02月05日
茨城工業高等専門学校  茨城工業高等専門学校　国際創造工学科（化学・生物・環境系）技術補佐員公募  生物学 - 生物科学、基礎生物学 -- 医歯薬学 - 基礎医学 -- 化学 - 生化学  常勤 (任期あり)  2021年02月05日
名古屋大学  企画・プロジェクト推進部門 (COI-NEXT）リサーチアドミニストレーターの公募について  その他 - 研究者支援、外部資金獲得等に関する企画・運営  常勤 (任期あり)  2021年02月10日
国立研究開発法人理化学研究所  技師募集（W20242）（病理情報学チーム）  情報学 - 計算機科学 -- 医歯薬学 - 医科学 -- 複合領域 - 全て  常勤 (任期あり)  2022年01月18日
目白大学  目白大学保健医療学部言語聴覚学科　教授、准教授または専任講師募集のお知らせ  医歯薬学 - 言語聴覚学 -- 複合領域 - 人間医工学  常勤 (任期あり)  2021年02月01日
目白大学  目白大学情報教育室（新宿キャンパス担当）助手募集のお知らせ  情報学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年02月01日
東京女子医科大学  助教の公募  医歯薬学 - 全て -- 生物学 - 全て -- 情報学 - 全て  常勤 (任期あり)  2021年05月15日
国立研究開発法人理化学研究所  特別研究員募集（W20243）（分子生命制御研究チーム）  化学 - 全て -- 生物学 - 全て  常勤 (任期あり)  2022年01月18日
広島大学  広島大学リサーチ・アドミニストレーター（URA）の公募  その他 - 全て  常勤 (任期あり)  2021年02月17日
長浜バイオ大学  長浜バイオ大学　プロジェクト特任教員募集  総合生物 - 全て -- 生物学 - 全て -- 農学 - 全て  常勤 (任期あり)  2021年02月12日
豊田工業大学  ポストドクトラル研究員の公募について（知能情報メディア)  情報学 - 情報学基礎 -- 情報学 - 人間情報学 -- 複合領域 - 人間医工学  常勤 (任期あり)  2021年09月30日
人間文化研究機構総合地球環境学研究所  特任教授の公募（プログラムディレクター）  環境学 - 全て  常勤 (任期あり)  2021年03月10日
大和大学  【専任教員公募】「政策論（情報・公共・経済）」（新設　情報学部（仮称））  社会科学 - 全て -- 社会科学 - 政治学 -- 社会科学 - 経済学  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「英語科目」（新設　情報学部（仮称））  人文学 - 言語学 -- 人文学 - 全て -- 総合人文社会 - 全て  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「社会心理・意思決定」（新設　情報学部（仮称））  社会科学 - 全て -- 社会科学 - 心理学 -- 社会科学 - 社会学  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「社会学・社会調査」（新設　情報学部（仮称））  社会科学 - 社会学 -- 社会科学 - 全て -- 総合人文社会 - 全て  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「情報学分野」（新設　情報学部（仮称））  情報学 - 全て -- 情報学 - 情報学基礎 -- 社会科学 - 全て  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「経営学分野」（新設　情報学部（仮称））  社会科学 - 経営学 -- 社会科学 - 全て -- 総合人文社会 - 全て  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「データサイエンス分野」（新設　情報学部（仮称））  情報学 - 全て -- 総合理工 - 全て -- 社会科学 - 全て  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「統計・調査法（量的・質的）」（新設　情報学部（仮称））  社会科学 - 全て -- 情報学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「認知科学」（新設　情報学部（仮称））  社会科学 - 心理学 -- 情報学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「社会情報学」（新設　情報学部（仮称））  情報学 - 全て -- 社会科学 - 全て -- 社会科学 - 社会学  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「経済学分野」（新設　情報学部（仮称））  社会科学 - 経済学 -- 社会科学 - 全て -- 社会科学 - 経営学  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「プログラミング・ネットワークシステム」（新設　情報学部（仮称））  情報学 - 全て -- 総合理工 - 全て -- 工学 - 全て  常勤 (任期あり)  2021年01月29日
大和大学  【専任教員公募】「機械学習・人工知能」（新設　情報学部（仮称））  情報学 - 全て -- 総合理工 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年01月29日
川口短期大学  川口短期大学ビジネス実務学科 特任教員の募集（経営学）（経営学総論）（経営管理論）（インターンシップ）（ゼミ）  社会科学 - 経営学 -- 社会科学 - 経済学  常勤 (任期あり)  2021年02月09日
国立研究開発法人理化学研究所  テクニカルスタッフＩまたはテクニカルスタッフⅡ募集（W20247）（超伝導量子計算システム研究ユニット）  数物系科学 - 物理学 -- 工学 - 全て  常勤 (任期あり)  2022年01月19日
龍谷大学  博士研究員（PD）の公募（龍谷大学 地域公共人材・政策開発リサーチセンター）  総合人文社会 - 全て -- 社会科学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年02月15日
国立研究開発法人理化学研究所  研究員または特別研究員募集（W20246）(超伝導量子計算システム研究ユニット)  数物系科学 - 物理学 -- 工学 - 全て  常勤 (任期あり)  2022年01月19日
東京理科大学  ポストドクトラル研究員募集  化学 - 材料化学 -- 工学 - 材料工学 -- 化学 - 全て  常勤 (任期あり)  2021年02月28日
京都大学  特定助教の公募　粒子線基礎物性研究部門（中性子応用光学研究分野）  総合理工 - 量子ビーム科学 -- 工学 - 総合工学  常勤 (任期あり)  2021年02月05日
和泉短期大学  和泉短期大学教員公募について（助教【契約】）  社会科学 - 保育・児童福祉  常勤 (任期あり)  2021年01月28日
国立研究開発法人防災科学技術研究所  契約研究員（研究員型）の公募（地震津波防災研究部門）  数物系科学 - 地球惑星科学 -- 工学 - 土木工学 -- 複合領域 - 社会・安全システム科学  常勤 (任期あり)  2021年02月10日
新潟医療福祉大学  191205 臨床技術学科（臨床工学・臨床検査系実習補助）助教または助手　2名の募集  医歯薬学 - 臨床工学系（電気工学） -- 工学 - 電気電子工学 -- 医歯薬学 - 臨床検査系  常勤 (任期あり)  2021年02月15日
新潟医療福祉大学  201203 臨床技術学科（生化学）教授または准教授または講師1名の募集  工学 - 材料工学 -- 化学 - 生化学  常勤 (任期あり)  2021年02月15日
東京福祉大学  専任教員の公募 初等教育分野（教育課程論・教育法規等）  人文学 - 言語学  常勤 (任期あり)  2021年01月31日
公益財団法人ひょうご震災記念２１世紀研究機構  研究戦略センターの研究員募集  社会科学 - 政治学 -- 社会科学 - 経済学 -- その他 - 災害復興・防災  常勤 (任期あり)  2021年02月26日
九州龍谷短期大学  人間コミュニティ学科　司書・心理コース、准教授または講師の公募  社会科学 - 心理学 -- 人文学 - 言語学  常勤 (任期あり)  2021年02月10日
京都大学  特定研究員（京都大学・工学研究科・井上研究室）  工学 - 全て -- 数物系科学 - 物理学 -- 生物学 - 基礎生物学  常勤 (任期あり)  2021年03月01日
大阪大学  量子コンピューティング　特任講師、特任助教、または特任研究員の公募  数物系科学 - 物理学 -- 情報学 - 計算基盤 -- 総合理工 - ナノ・マイクロ科学  常勤 (任期あり)  2021年03月31日
国立研究開発法人理化学研究所  研究員または特別研究員募集（W20252）（杉田理論分子科学研究室）  数物系科学 - 物理学 -- 化学 - 全て -- 情報学 - 数理・情報科学  常勤 (任期あり)  2022年01月19日
東洋学園大学  助教（公認心理師養成カリキュラム担当）の公募  社会科学 - 心理学  常勤 (任期あり)  2021年02月11日
宝塚大学  常勤教員（東京新宿キャンパス）の公募について（マンガ・アニメーション・ゲーム分野）  人文学 - 芸術学  常勤 (任期あり)  2021年02月05日
宝塚大学  常勤教員（東京新宿キャンパス）の公募について（イラストレーション・キャラクターデザイン分野）  人文学 - 芸術学  常勤 (任期あり)  2021年02月05日
筑波学院大学  ＜地域研究分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  総合人文社会 - 地域研究  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜文学分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  人文学 - 文学  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜言語学分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  人文学 - 言語学  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜史学分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  人文学 - 史学  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜文化人類学＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  人文学 - 文化人類学  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜政治学分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  社会科学 - 政治学  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜経済学分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  社会科学 - 経済学  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜経営学分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  社会科学 - 経営学  常勤 (任期あり)  2021年02月10日
筑波学院大学  ＜社会学分野＞【外国人教員（英語を母語とする者）の公募】助教、専任講師又は准教授 ※募集期間再延長  社会科学 - 社会学  常勤 (任期あり)  2021年02月10日
慶應義塾大学  研究員もしくは特任助教の募集（慶應大・川畑研究室）  社会科学 - 心理学 -- 総合生物 - 神経科学 -- 情報学 - 人間情報学  常勤 (任期あり)  2021年02月28日
梅花女子大学  助教（有期）の募集（老年看護学）  医歯薬学 - 看護学 -- その他 - 老年看護学  常勤 (任期あり)  2021年03月31日
北海道文教大学  人間科学部作業療法学科（地域作業療法学、高齢期作業療法学、作業療法基礎学分野）教授・准教授の公募  複合領域 - 人間医工学  常勤 (任期あり)  2021年01月31日
株式会社３９６バイオ  主任研究員の公募（微生物を用いた有価物生産の研究開発）  生物学 - 生物科学 -- 農学 - 農芸化学 -- 生物学 - 全て  常勤 (任期あり)  2021年02月20日
関西学院大学  博士研究員（CREST「細胞内現象の時空間ダイナミクス」担当）募集  生物学 - 基礎生物学 -- 生物学 - 生物科学 -- 農学 - 水圏応用科学  常勤 (任期あり)  2021年01月22日
国立研究開発法人産業技術総合研究所  博士研究員募集（昆虫と微生物の内部共生系の研究 公募No: 2021-bpri_0002）　  総合生物 - ゲノム科学 -- 生物学 - 生物科学 -- 農学 - 境界農学  常勤 (任期あり)  2021年02月15日
