


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
武庫川女子大学  専任教員（教授または准教授）の公募について（統計学分野）  情報学 - 全て -- 社会科学 - 全て -- 複合領域 - 全て  常勤 (任期なし)  2021年02月28日
化学メーカー  [非公開]　正社員　＜21年4月入社＞化学メーカー　新規モノマー開発、樹脂開発 （有機合成及びポリマー合成）  化学 - 全て -- 工学 - 全て  常勤 (任期なし)  2021年06月30日
化学メーカー  [非公開]　正社員　＜21年4月入社＞大手エネルギーメーカー 自動車用蓄電池の新規ラインの立ち上げや設備保守  工学 - 全て -- 化学 - 全て -- 総合理工 - 全て  常勤 (任期なし)  2021年06月30日
医薬品メーカー  [非公開]　正社員　＜21年4月入社＞薬剤師資格要・未経験歓迎・大手医薬部外品メーカー品質保証  生物学 - 全て -- 医歯薬学 - 全て -- 化学 - 全て  常勤 (任期なし)  2021年06月30日
化学メーカー  [非公開]　正社員　＜21年4月入社＞＜企業就業経験無い方もご応募いただけます＞　再生医療事業における細胞培養業務  生物学 - 全て -- 総合生物 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
分析受託会社  [非公開]　正社員　＜21年4月入社＞未経験可！　環境分析（大気・水質・土壌等に含まれる化学物質のサンプリング、分析）  環境学 - 全て -- 化学 - 全て -- 生物学 - 全て  常勤 (任期なし)  2021年06月30日
バイオ関連メーカー  [非公開]　正社員　＜21年4月入社＞新卒・第二新卒未経験可　再生医療　細胞処理業務  生物学 - 全て -- 化学 - 全て -- 農学 - 全て  常勤 (任期なし)  2021年06月30日
食品メーカー  [非公開]　正社員　＜21年4月入社＞食品・検査機器　輸入・製造企業での品質保証  化学 - 全て -- 生物学 - 全て -- 農学 - 全て  常勤 (任期なし)  2021年06月30日
化学メーカー  [非公開]　正社員　＜21年4月入社＞食品加工　微生物・発酵技術の探索から実用化まで  化学 - 全て -- 生物学 - 全て  常勤 (任期なし)  2021年06月30日
バイオ関連メーカー  [非公開]　正社員　＜21年4月入社＞産学連携創薬ベンチャー プロテインキナーゼ阻害剤を中心とした新薬の開発  生物学 - 全て -- 総合生物 - 全て  常勤 (任期なし)  2021年06月30日
化学メーカー  [非公開]　正社員　＜21年4月入社＞＜企業経験不問＞再生医療事業における品質管理業務　・フローサイトメーター、PCR等を使用した材料、中間製品、製品の検査業務  医歯薬学 - 全て -- 生物学 - 全て -- 総合生物 - 全て  常勤 (任期なし)  2021年06月30日
バイオ関連メーカー  [非公開]　正社員　＜21年4月入社＞新薬開発における動物実験、細胞培養等  生物学 - 全て -- 総合生物 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
医薬品メーカー  [非公開]開発職（希少疾病用医薬品）  生物学 - 生物科学 -- 医歯薬学 - 基礎医学 -- 医歯薬学 - 薬学  常勤 (任期なし)  2021年07月31日
医薬品メーカー  [非公開]　正社員　＜21年4月入社＞医薬品受託開発　生化学実験（薬物濃度測定（LC-MS/MS）、薬物動態試験(ELISA、細胞培養など)  生物学 - 全て -- 総合生物 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
製薬メーカー  [非公開]　正社員　＜21年4月入社＞大手製薬 iPS細胞を用いた再生医療等製品の実用化に向けた薬理・安全性研究  生物学 - 全て -- 総合生物 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
バイオ関連メーカー  [非公開]　正社員　＜21年4月入社＞バイオ研究員の募集！神経系難病に関わる創薬・治療法開発業務  生物学 - 全て -- 総合生物 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
医薬品メーカー  [非公開]　正社員　＜21年4月入社＞第二新卒歓迎！ 有名メーカー 消毒液等の品質管理業務 GC・HPLC  化学 - 全て -- 生物学 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
バイオ関連メーカー  [非公開]　正社員　＜21年4月入社＞化粧品・健康食品の新しい機能性材料の探索研究  農学 - 全て -- 生物学 - 全て -- 化学 - 全て  常勤 (任期なし)  2021年06月30日
医薬品メーカー  [非公開]　正社員　＜21年4月入社＞アミノ酸を用いた医薬品・化粧品の開発サポート HPLC経験者募集　  化学 - 全て -- 生物学 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
独立行政法人日本スポーツ振興センター  国立スポーツ科学センターJISS研究員募集（スポーツ生理・生化学）  複合領域 - 健康・スポーツ科学  常勤 (任期なし)  2021年02月03日
医薬品メーカー  [非公開]研究職（タンパク質工学／ワクチン抗原）  生物学 - 生物科学 -- 医歯薬学 - 基礎医学 -- 医歯薬学 - 薬学  常勤 (任期なし)  2021年07月31日
バイオ関連メーカー  [非公開]　正社員　医療用機器製造のための生化学実験　大手対外診断薬メーカー  総合生物 - 全て -- 農学 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
神戸教育短期大学  こども学科　准教授（専任）または講師（専任）（造形・図工演習関係）の募集  複合領域 - 子ども学 -- 社会科学 - 教育学  常勤 (任期なし)  2021年01月27日
京都先端科学大学  専任教員の公募（准教授、専任講師または助教）ミクロ経済学・マクロ経済学・計量分析に関する研究領域  社会科学 - 経済学 -- 社会科学 - 経営学  常勤 (任期なし)  2021年01月29日
平谷こども発達クリニック  診療所（小児科・児童精神科）での心理職の募集  社会科学 - 心理学 -- 社会科学 - 臨床心理学  常勤 (任期なし)  2021年03月31日
新潟工科大学  新潟工科大学　教員（食品科学）公募  化学 - 複合化学 -- 工学 - プロセス工学・化学工学 -- 農学 - 農芸化学  常勤 (任期なし)  2021年04月09日
甲南大学  教員公募（教授、准教授または常勤専任講師）  数物系科学 - 天文学 -- 数物系科学 - 物理学 -- 数物系科学 - 地球惑星科学  常勤 (任期なし)  2021年03月14日
滋賀県立大学  滋賀県立大学　工学部　ガラス工学研究センター　講師の公募  工学 - 材料工学 -- 化学 - 材料化学 -- 数物系科学 - 地球惑星科学  常勤 (任期なし)  2021年04月12日
東京都市大学  教授または准教授の公募（メディア・コミュニケーション分野）  社会科学 - 全て -- 人文学 - 全て -- 情報学 - 全て  常勤 (任期なし)  2021年04月16日
津田塾大学  准教授または専任講師の公募（ドイツ語圏文化研究）  人文学 - 文学 -- 人文学 - 芸術学 -- 人文学 - 言語学  常勤 (任期なし)  2021年03月15日
大阪大学  准教授の再公募（システム数理学講座）  複合領域 - 社会・安全システム科学 -- 総合理工 - 計算科学  常勤 (任期なし)  2021年03月31日
九州大学  准教授公募（工学研究院 機械工学部門 加工プロセス講座）  工学 - 機械工学 -- 工学 - 材料工学  常勤 (任期なし)  2021年04月23日
