



==== TENURE  常勤 (任期なし)  ===== 
D120111406  日本医療大学 「診療放射線学科専任教員＿准教授または講師の公募」〔公募№ 放射01〕 医歯薬学 - 内科系臨床医学 -- その他 - 全て 常勤 (任期なし) 2020年12月10日
D120111396  日本医療大学 「看護学科専任教員＿老年看護学領域の公募」 医歯薬学 - 看護学 -- 医歯薬学 - 外科系臨床医学 -- その他 - 全て 常勤 (任期なし) 2020年12月10日
D120111451  高崎健康福祉大学 健康栄養学科〔助教または助手〕の専任教員の公募について 複合領域 - 生活科学 常勤 (任期なし) 2020年12月21日
D120111519  国立研究開発法人宇宙航空研究開発機構 【正社員募集】ライフサイエンス宇宙実験技術の高度化に向けたシステムエンジニア 総合生物 - 全て -- 生物学 - 全て 常勤 (任期なし) 2021年03月31日
D120111523  大阪大学 大阪大学全学教育推進機構　教授 の公募 その他 - 全て 常勤 (任期なし) 2020年12月18日
D120091296  九州大学 九州大学大学院システム情報科学研究院 I&Eビジョナリー特別部門（電気電子工学分野） 助教公募 工学 - 電気電子工学 -- 工学 - 材料工学 常勤 (任期なし) 2021年01月12日
D120110006  玉川大学 玉川大学工学部エンジニアリングデザイン学科教育研究補助員（技術職員）の公募について 工学 - 機械工学 -- 複合領域 - デザイン学 常勤 (任期なし) 2020年12月21日
D120110262  東京大学 東京大学教養学部・大学院総合文化研究科　准教授または講師 人文学 - 芸術学 常勤 (任期なし) 2020年11月30日
D120111507  国立研究開発法人宇宙航空研究開発機構 【正社員募集】宇宙実験（材料、物質科学分野）のミッションサイエンティスト 総合理工 - 全て -- 工学 - 全て 常勤 (任期なし) 2021年03月31日
D120111516  江戸川大学 専任教員の公募（「スポーツ産業論」、その他関連科目） 社会科学 - 経済学 -- 社会科学 - 経営学 常勤 (任期なし) 2020年12月11日
D120111517  江戸川大学 専任教員の公募（「アスレティックトレーニング論」、その他関連科目） 社会科学 - 教育学 -- 複合領域 - 健康・スポーツ科学 常勤 (任期なし) 2020年12月11日
D120111518  江戸川大学 専任教員の公募（「音楽ビジネス概論」、その他関連科目） 社会科学 - 経済学 -- 社会科学 - 経営学 常勤 (任期なし) 2020年12月11日
D120111547  札幌大学 地域共創学群人間社会学域（法・政治学系）講師又は准教授（民法） 社会科学 - 法学 常勤 (任期なし) 2020年12月21日
D120111550  佐賀大学 人文・社会科学域 教育学系　准教授、または講師（研究者教員） 社会科学 - 教育課程論 -- 社会科学 - 理科教育学 常勤 (任期なし) 2021年01月12日
D120111591  神戸大学 准教授の公募 工学 - 機械工学 常勤 (任期なし) 2021年01月14日
D120111592  いわき短期大学 専任教員の公募（幼児教育科 幼児体育領域　1名） 社会科学 - 教育学 -- 複合領域 - 子ども学 -- その他 - 保育　幼児教育 常勤 (任期なし) 2020年12月18日
D120111603  佐賀大学 准教授または講師の公募(博物館学) 複合領域 - 文化財科学・博物館学 -- 人文学 - 哲学 -- 人文学 - 史学 常勤 (任期なし) 2021年01月08日
D120111613  鳥取大学 教授の公募（地域学部地域学科国際地域文化コース 日本古典文学） 人文学 - 文学 常勤 (任期なし) 2021年01月05日
D120111548  小樽商科大学 マーケティング等担当教員の公募 社会科学 - 経営学 -- 総合人文社会 - 観光学 常勤 (任期なし) 2021年01月15日
D120111585  広島国際大学 広島国際大学健康科学部心理学科教員公募 社会科学 - 心理学 常勤 (任期なし) 2020年12月21日
D120111617  九州大学 教授公募（アイソトープ統合安全管理センター放射線教育部） 総合理工 - 全て -- 総合生物 - 全て -- 医歯薬学 - 全て 常勤 (任期なし) 2021年01月05日
D120111623  九州大学 教授公募（アイソトープ統合安全管理センター核燃料安全管理部） 工学 - 原子力 -- 総合理工 - 応用物理学 -- 数物系科学 - 放射線物理学 常勤 (任期なし) 2021年01月05日
D120111562  東北大学 准教授の公募（教育心理学講座生涯教育科学（教育哲学）） 人文学 - 哲学 -- 社会科学 - 教育学 常勤 (任期なし) 2021年03月31日
D120111626  常葉大学 「准教授または講師、助教の公募（環境デザイン、サスティナブルデザイン、空間デザイン）」 複合領域 - デザイン学 -- 工学 - 建築学 常勤 (任期なし) 2021年01月08日
D120111629  高千穂大学 専任教育職員（日本史（古代中世近世）、日本史（近代・現代）、社会科・地理歴史科教育論、社会科・地理歴史科指導法、ゼミⅠ及び専門ゼミ）の公募について 人文学 - 史学 常勤 (任期なし) 2021年01月08日
